Campeonato,Rodada,Data,Home,Away,Gols_home,Gols_away,GOLS_1T_HOME,GOLS_1T_AWAY,GOLS_2T_HOME,GOLS_2T_AWAY
franca-ligue-1-2023-2024,RODADA 8,2024-10-08,Marseille,Le Havre,3,0,2,0,,
franca-ligue-1-2023-2024,RODADA 8,2024-10-07,Reims,Monaco,1,3,0,1,,
franca-ligue-1-2023-2024,RODADA 8,2024-10-07,Metz,Nice,0,1,0,1,,
franca-ligue-1-2023-2024,RODADA 8,2024-10-06,Strasbourg,Nantes,1,2,0,0,,
franca-ligue-1-2023-2024,RODADA 7,2024-10-01,Rennes,Nantes,3,1,1,1,,
franca-ligue-1-2023-2024,RODADA 7,2024-10-01,Lorient,Montpellier,0,3,0,1,,
franca-ligue-1-2023-2024,RODADA 7,2024-10-01,Le Havre,Lille,0,2,0,1,,
franca-ligue-1-2023-2024,RODADA 7,2024-10-01,Nice,Brest,0,0,0,0,,
franca-ligue-1-2023-2024,RODADA 7,2024-10-01,Toulouse,Metz,3,0,2,0,,
franca-ligue-1-2023-2024,RODADA 7,2024-10-01,Reims,Lyon,2,0,1,0,,
franca-ligue-1-2023-2024,RODADA 7,2024-09-30,Monaco,Marseille,3,2,2,2,,
franca-ligue-1-2023-2024,RODADA 7,2024-09-30,Clermont,PSG,0,0,0,0,,
franca-ligue-1-2023-2024,RODADA 7,2024-09-29,Strasbourg,Lens,0,1,0,1,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-26,Lille,Reims,1,2,0,2,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-24,PSG,Marseille,4,0,2,0,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-24,Montpellier,Rennes,0,0,0,0,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-24,Le Havre,Clermont,2,1,2,1,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-24,Lens,Toulouse,2,1,1,1,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-24,Metz,Strasbourg,0,1,0,0,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-23,Brest,Lyon,1,0,0,0,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-23,Nantes,Lorient,5,3,1,1,,
franca-ligue-1-2023-2024,RODADA 6,2024-09-22,Monaco,Nice,0,1,0,0,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-17,Lyon,Le Havre,0,0,0,0,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-17,Marseille,Toulouse,0,0,0,0,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-17,Clermont,Nantes,0,1,0,0,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-17,Reims,Brest,1,2,1,0,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-17,Strasbourg,Montpellier,2,2,0,2,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-17,Lorient,Monaco,2,2,1,1,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-16,Lens,Metz,0,1,0,1,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-16,Rennes,Lille,2,2,0,1,,
franca-ligue-1-2023-2024,RODADA 5,2024-09-15,PSG,Nice,2,3,1,1,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-03,Lyon,PSG,1,4,0,4,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-03,Nice,Strasbourg,2,0,1,0,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-03,Le Havre,Lorient,3,0,0,0,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-03,Lille,Montpellier,1,0,1,0,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-03,Metz,Reims,2,2,1,1,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-03,Toulouse,Clermont,2,2,2,1,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-02,Monaco,Lens,3,0,2,0,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-02,Brest,Rennes,0,0,0,0,,
franca-ligue-1-2023-2024,RODADA 4,2024-09-01,Nantes,Marseille,1,1,1,1,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-27,Nice,Lyon,0,0,0,0,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-27,Lorient,Lille,4,1,2,0,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-27,Clermont,Metz,0,1,0,0,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-27,Montpellier,Reims,1,3,1,2,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-27,Strasbourg,Toulouse,2,0,0,0,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-27,Rennes,Le Havre,2,2,2,1,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-26,PSG,Lens,3,1,1,0,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-26,Marseille,Brest,2,0,1,0,,
franca-ligue-1-2023-2024,RODADA 3,2024-08-25,Nantes,Monaco,3,3,2,1,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-20,Lens,Rennes,1,1,1,0,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-20,Monaco,Strasbourg,3,0,2,0,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-20,Le Havre,Brest,1,2,0,1,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-20,Lorient,Nice,1,1,0,0,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-20,Reims,Clermont,2,0,1,0,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-20,Lille,Nantes,2,0,0,0,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-19,Toulouse,PSG,1,1,0,0,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-19,Lyon,Montpellier,1,4,0,2,,
franca-ligue-1-2023-2024,RODADA 2,2024-08-18,Metz,Marseille,2,2,0,1,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-13,Strasbourg,Lyon,2,1,0,0,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-13,Rennes,Metz,5,1,1,1,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-13,Clermont,Monaco,2,4,1,2,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-13,Montpellier,Le Havre,2,2,0,1,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-13,Nantes,Toulouse,1,2,1,0,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-13,Brest,Lens,3,2,1,2,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-12,PSG,Lorient,0,0,0,0,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-12,Marseille,Reims,2,1,1,1,,
franca-ligue-1-2023-2024,RODADA 1,2024-08-11,Nice,Lille,1,1,1,0,,
